pub_id,topic,disseminationdata,sent_time,sub_id,received_time,Num_topics_subscribed,latency,receivedFromBroker
pub,weather,sunny,21-53-56-763,sub,21-53-56-766,7,3.0,False
pub,humidity,82.60566348293766,21-53-56-764,sub,21-53-56-775,7,11.0,False
pub,temperature,80,21-53-56-764,sub,21-53-56-776,7,12.0,False
pub,light,1100,21-53-56-765,sub,21-53-56-776,7,11.0,False
pub,airquality,smog,21-53-56-766,sub,21-53-56-777,7,11.0,False
pub,location,America,21-53-56-767,sub,21-53-56-778,7,11.0,False
pub,weather,rainy,21-53-57-772,sub,21-53-57-773,7,1.0,False
pub,humidity,51.984156847000506,21-53-57-772,sub,21-53-57-774,7,2.0,False
pub,temperature,-16,21-53-57-772,sub,21-53-57-775,7,3.0,False
pub,light,450,21-53-57-773,sub,21-53-57-776,7,3.0,False
pub,airquality,smog,21-53-57-773,sub,21-53-57-777,7,4.0,False
pub,location,Europe,21-53-57-773,sub,21-53-57-778,7,5.0,False
pub,weather,sunny,21-53-58-774,sub,21-53-58-775,7,1.0,False
pub,humidity,79.77560298819108,21-53-58-774,sub,21-53-58-776,7,2.0,False
pub,temperature,-49,21-53-58-775,sub,21-53-58-777,7,2.0,False
pub,light,1100,21-53-58-775,sub,21-53-58-777,7,2.0,False
pub,airquality,poor,21-53-58-775,sub,21-53-58-778,7,3.0,False
pub,location,Africa,21-53-58-775,sub,21-53-58-779,7,4.0,False
pub,weather,sunny,21-53-59-777,sub,21-53-59-778,7,1.0,False
pub,humidity,29.451584272580906,21-53-59-777,sub,21-53-59-779,7,2.0,False
pub,temperature,69,21-53-59-777,sub,21-53-59-780,7,3.0,False
pub,light,1600,21-53-59-777,sub,21-53-59-780,7,3.0,False
pub,airquality,poor,21-53-59-778,sub,21-53-59-781,7,3.0,False
pub,location,Asia,21-53-59-778,sub,21-53-59-782,7,4.0,False
pub,weather,foggy,21-54-00-778,sub,21-54-00-780,7,2.0,False
pub,humidity,48.79617165433903,21-54-00-779,sub,21-54-00-781,7,2.0,False
pub,temperature,-61,21-54-00-779,sub,21-54-00-781,7,2.0,False
pub,light,450,21-54-00-779,sub,21-54-00-783,7,4.0,False
pub,airquality,poor,21-54-00-779,sub,21-54-00-784,7,5.0,False
pub,location,Europe,21-54-00-779,sub,21-54-00-785,7,6.0,False
pub,weather,cloudy,21-54-01-781,sub,21-54-01-782,7,1.0,False
pub,humidity,85.13023468703226,21-54-01-781,sub,21-54-01-783,7,2.0,False
pub,temperature,71,21-54-01-781,sub,21-54-01-784,7,3.0,False
pub,light,800,21-54-01-781,sub,21-54-01-784,7,3.0,False
pub,airquality,good,21-54-01-782,sub,21-54-01-785,7,3.0,False
pub,location,Asia,21-54-01-782,sub,21-54-01-786,7,4.0,False
pub,weather,icy,21-54-02-783,sub,21-54-02-784,7,1.0,False
pub,humidity,88.93059962514499,21-54-02-783,sub,21-54-02-785,7,2.0,False
pub,temperature,50,21-54-02-784,sub,21-54-02-785,7,1.0,False
pub,light,450,21-54-02-784,sub,21-54-02-786,7,2.0,False
pub,airquality,good,21-54-02-784,sub,21-54-02-787,7,3.0,False
pub,location,Africa,21-54-02-784,sub,21-54-02-787,7,3.0,False
pub,weather,icy,21-54-03-786,sub,21-54-03-787,7,1.0,False
pub,humidity,89.69864245915686,21-54-03-786,sub,21-54-03-788,7,2.0,False
